SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
30.8604,0,2653,0,0,206.053,934,739,8144,0,303.766,0,0,62,0,36.7378,359803,0,439470,0
39.5761,0,3411,0,0,205.718,764,764,8149,0,256.376,0,0,92,0,114.15,359803,0,439470,0
52.7202,0,4533,213,0,208.012,6209,1859,8186,207,197,0,0,80,13,86.929,360010,0,439683,0
42.4118,0,3645,4618,0,209.095,5533,3749,7685,1137,317.798,0,0,3,35,70.1908,361147,0,444301,0
37.4141,0,3214,0,0,206.988,3275,731,8155,1520,309.618,0,0,35,0,36.202,362667,0,444301,0
38.2303,0,3294,0,0,205.273,685,670,8169,0,305.839,0,0,92,0,765.309,362667,0,444301,0
124.482,0,10692,3395,0,209.023,44445,5557,8191,3310,54,0,0,69,102,3223.14,365977,0,447696,0
110.675,0,9514,11101,0,212.081,48449,7908,8127,6820,67.1467,0,0,7,57,1283.31,372797,0,458797,0
154.45,0,13286,16345,0,212.479,48536,8191,8191,12962,66.2568,0,0,2,0,2050.37,385759,0,475142,0
94.53,0,8122,16,0,218.334,38288,8191,8191,7765,134,0,0,7,10,976.359,393524,0,475158,0
59.6215,0,5123,8191,0,220.804,42319,7846,8191,5123,128.821,0,0,4,0,1789.51,398647,0,483349,0
72.3497,0,6214,8191,0,226.232,29229,7655,8029,5869,138.57,0,0,7,3,719.357,404516,0,491540,0
82.2286,0,7063,7854,0,226.232,29229,7854,8191,6864,156,0,0,0,4,719.357,411380,0,499394,0
73.5437,0,6318,0,0,225.1,25540,6520,8138,6318,155.515,0,0,3,0,678.729,417698,0,499394,0
63.4818,0,5457,7332,0,218.603,23923,2147,6969,4645,175.866,0,0,8,12,1193.69,422343,0,506726,0
61.6115,0,5293,1982,0,213.039,17668,1013,8154,3947,208.531,0,0,12,13,398.397,426290,0,508708,0
52.256,0,4490,3599,0,210.675,21908,148,4791,1047,250,0,0,17,19,1047.35,427337,0,512307,0
39.7565,0,3415,13,0,237.317,847,847,8182,13,296,0,0,65,13,30.6925,427350,0,512320,0
33.058,0,2840,0,0,206.996,7344,746,8157,0,295.685,0,0,64,0,35.3167,427350,0,512320,0
38.6907,0,3324,0,0,205.714,619,568,8150,0,282.094,0,0,91,0,33.0337,427350,0,512320,0
43.3287,0,3722,0,0,206.353,28642,810,8146,0,276.369,0,0,91,0,730.644,427350,0,512320,0
90.3234,0,7761,3033,0,211.637,3807,4225,8191,3033,75,0,0,33,117,1835.31,430383,0,515353,0
49.2277,0,4234,4234,0,218.749,1921,3888,8191,4234,73.1885,0,0,8,1,647.745,434617,0,519587,0
81.7357,0,7031,7406,0,224.725,1654,3392,8104,7031,72.7625,0,0,10,0,192.879,441648,0,526993,0
99.6936,0,8563,4222,0,227.354,12543,6077,8191,4597,92,0,0,9,23,1693.56,446245,0,531215,0
69.2336,0,5949,10766,0,227.354,12543,8191,8191,3835,132,0,0,0,37,1693.56,450080,0,541981,0
80.741,0,6935,0,0,229.588,12626,7765,7765,6931,130.28,0,0,3,0,1143.61,457011,0,541981,0
86.2293,0,7411,7765,0,228.705,8649,7039,7495,7411,128.605,0,0,2,15,881.194,464422,0,549746,0
52.3397,0,4495,7495,0,222.34,38096,4194,8135,4039,230.559,0,0,12,14,202.244,468461,0,557241,0
55.1912,0,4744,75,0,214.325,14821,2395,8175,3395,342,0,0,15,13,673.814,471856,0,557316,0
34.4989,0,2964,3780,0,212.872,11451,2572,7865,1708,339.677,0,0,3,5,463.94,473564,0,561096,0
36.3134,0,3122,0,0,233.91,709,652,8191,108,248.175,0,0,69,0,36.7028,473672,0,561096,0
22.3533,0,1920,15,0,205.553,4124,502,8156,15,441.068,0,0,53,9,39.4518,473687,0,561111,0
34.5993,0,2972,0,0,204.642,680,645,8176,0,319.67,0,0,91,0,43.9363,473687,0,561111,0
37.2392,0,3199,0,0,207.232,43114,862,8166,0,253.407,0,0,88,0,57.1567,473687,0,561111,0
34.9104,0,2998,39,0,215.548,988,608,8162,39,360.205,0,0,71,31,30.5644,473726,0,561150,0
34.1372,0,2933,0,0,205.331,1005,637,8155,0,344.029,0,0,92,0,114.791,473726,0,561150,0
45.8153,0,3939,827,0,214.678,885,1239,8134,827,131.652,0,0,76,74,126.602,474553,0,561977,0
25.3211,0,2175,823,0,211.369,14438,1603,8143,823,130.246,0,0,17,1,728.804,475376,0,562800,0
60.422,0,5192,6647,0,211.369,14438,5700,8143,1095,238,0,0,0,93,728.804,476471,0,569447,0
49.467,0,4249,0,0,207.7,20625,671,5396,3578,229.007,0,0,24,0,61.7228,480049,0,569447,0
47.8816,0,4113,23,0,215.173,40400,947,8191,23,237.167,0,0,49,8,706.148,480072,0,569470,0
103.125,0,8887,2756,0,210.152,7042,5634,8191,2687,211,0,0,30,67,1258.66,482759,0,572226,0
35.2495,0,3028,7334,0,211.502,11997,6534,8065,1620,265.157,0,0,7,21,515.249,484379,0,579560,0
46.3089,0,3978,0,0,206.662,3069,1862,7337,3978,234.009,0,0,62,0,285.131,488357,0,579560,0
50.8998,0,4371,0,0,206.393,10186,974,8156,825,228.834,0,0,58,0,45.5786,489182,0,579560,0
66.4683,0,5709,839,0,206.637,20664,4900,8191,839,261,0,0,21,57,2952.94,490021,0,580399,0
40.7733,0,3502,6759,0,207.293,16062,5342,8191,1713,277.673,0,0,4,27,1745.91,491734,0,587158,0
56.4974,0,4855,55,0,207.411,14401,1934,8167,2702,161,0,0,22,4,2761.86,494436,0,587213,0
